Player,Team,P,Season,start_year,end_year,dob,age_in_season,GP,G,A1,A2,SOG,FOW,FOL,PenT,game_score,game_score_game
Cailey Hutchison,MET,F,2019-2020,2019,2020,1997,22,24,3,2,6,62,249,236,14,14.29,0.6
Carlee Toews,BOS,F,2019-2020,2019,2020,1996,23,22,7,6,2,49,2,7,3,17.62,0.8
Carlee Turner,BOS,NA,2020-2021,2020,2021,1997,23,7,0,1,0,14,31,26,1,2.7,0.39
Casey Pickett,BOS,F,2015-2016,2015,2016,1986,29,7,0,0,0,8,0,0,0,0.8,0.11
Cassidy MacPherson,BUF,F,2019-2020,2019,2020,1997,22,24,5,3,4,63,195,200,2,15.79,0.66
Cassidy MacPherson,BUF,NA,2020-2021,2020,2021,1997,23,6,0,0,0,18,43,45,0,1.58,0.26
Cassie Dunne,CTW,D,2017-2018,2017,2018,1994,23,5,0,0,0,0,0,0,0,0,0
Cassie Dunne,MET,D,2019-2020,2019,2020,1994,25,19,0,0,2,6,1,0,3,1.58,0.08
Celeste Brown,CTW,F,2016-2017,2016,2017,1992,24,3,0,0,0,3,0,0,0,0.3,0.1
Celeste Brown,NYR,F,2015-2016,2015,2016,1992,23,17,0,2,2,23,0,0,0,5.42,0.32
Cheeky Herr,MET,F,2017-2018,2017,2018,1993,24,2,0,0,0,1,0,0,0,0.1,0.05
Chelsea Ziadie,MET,D,2018-2019,2018,2019,1996,22,16,1,2,1,9,0,0,0,4.36,0.27
Chelsey Brodt Rosenthal,MIN,NA,2020-2021,2020,2021,1983,37,4,0,0,0,1,0,0,3,-0.35,-0.09
Chelsey Brodt Rosenthal,MIN,D,2019-2020,2019,2020,1983,36,22,0,0,3,14,0,1,8,2.07,0.09
Chelsey Brodt Rosenthal,MIN,D,2018-2019,2018,2019,1983,35,14,0,1,3,7,0,0,0,3.58,0.26
Cherie Hendrickson,BOS,D,2015-2016,2015,2016,1986,29,3,0,0,0,2,0,0,0,0.2,0.07
Cherie Stewart,NYR,F,2015-2016,2015,2016,1982,33,4,0,0,0,3,0,0,0,0.3,0.08
Christina Putigna,BOS,F,2019-2020,2019,2020,1997,22,24,8,14,7,96,5,3,6,34.14,1.42
Christina Putigna,BOS,NA,2020-2021,2020,2021,1997,23,7,2,4,2,24,0,0,1,9.17,1.31
Colleen Murphy,CTW,F|D,2018-2019,2018,2019,1993,25,8,0,0,1,8,0,0,0,1.46,0.18
Colleen Murphy,MET,D,2019-2020,2019,2020,1993,26,24,1,3,3,33,0,0,8,7.78,0.32
